record_id,corporate_name,supplier_tier,country,annual_spend_usd,contract_start,category,risk_score,is_active,contact_email
SC-00093,Titan Manufacturing Co,Tier 3,India,3529788.41,2022-07-18,Electronics,6.87,True,procurement@titanmanufac.com
SC-00094,Tempest Energy,Tier 2,USA,2745583.77,2023-08-19,Logistics,9.08,True,procurement@tempestenerg.com
SC-00095,Vertex Holdings,Tier 1,France,1572678.47,2023-03-11,Raw Materials,4.39,False,procurement@vertexholdin.com
SC-00096,Cobalt Ventures,Tier 2,UK,2722908.73,2022-06-15,Electronics,5.98,False,procurement@cobaltventur.com
SC-00097,Indigo Capital,Tier 1,USA,1183175.86,2023-10-12,Services,5.87,True,procurement@indigocapita.com
SC-00098,Stellar Pharma,Tier 1,China,2618871.01,2022-06-24,Raw Materials,1.81,False,procurement@stellarpharm.com
SC-00099,Pulsar Electronics,Tier 2,India,2071323.06,2021-10-19,Electronics,8.58,True,procurement@pulsarelectr.com
SC-00100,Ionic Materials,Tier 2,Japan,4728708.02,2023-01-31,Electronics,4.55,True,procurement@ionicmateria.com
SC-00101,Quantum Analytics Inc,Tier 1,France,2050666.53,2022-11-19,Electronics,6.58,False,procurement@quantumanaly.com
SC-00102,Ionic Materials,Tier 1,UK,1840807.83,2022-10-17,Software,7.6,True,procurement@ionicmateria.com
SC-00103,Stellar Pharma,Tier 2,China,4410190.76,2022-09-19,Electronics,0.29,True,procurement@stellarpharm.com
SC-00104,Stratos Global,Tier 3,USA,2783644.47,2020-07-09,Logistics,9.92,True,procurement@stratosgloba.com
SC-00105,Summit Resources,Tier 3,France,812157.07,2021-08-20,Services,7.05,False,procurement@summitresour.com
SC-00106,Eclipse Trading,Tier 1,China,2778762.13,2022-02-24,Logistics,9.22,True,procurement@eclipsetradi.com
SC-00107,Vertex Holdings,Tier 2,India,4674529.55,2022-11-05,Raw Materials,8.21,True,procurement@vertexholdin.com
SC-00108,Cobalt Ventures,Tier 1,China,2715973.86,2021-12-07,Raw Materials,5.52,False,procurement@cobaltventur.com
SC-00109,Summit Resources,Tier 1,Japan,1232087.44,2022-02-23,Logistics,8.56,False,procurement@summitresour.com
SC-00110,Next Gen Solutions,Tier 3,China,3540878.01,2022-02-19,Software,9.88,True,procurement@nexgensoluti.com
SC-00111,Pulsar Electronics,Tier 1,UK,4828500.27,2021-11-10,Electronics,8.74,False,procurement@pulsarelectr.com
SC-00112,Catalyst Group,Tier 1,Japan,763569.31,2023-09-02,Logistics,0.75,True,procurement@catalystgrou.com
SC-00113,Sirius Retail,Tier 3,USA,4266238.2,2023-10-13,Services,3.8,True,procurement@siriusretail.com
SC-00114,Pulsar Electronics,Tier 3,USA,1212112.7,2023-11-02,Raw Materials,9.97,True,procurement@pulsarelectr.com
SC-00115,Synapse A.I.,Tier 3,Japan,4369267.2,2022-06-27,Logistics,6.94,True,procurement@synapseai.com
SC-00116,Next Gen Solutions,Tier 1,India,1824393.54,2022-06-01,Logistics,2.44,False,procurement@nexgensoluti.com
SC-00117,Solace Systems,Tier 1,Germany,440893.34,2022-02-22,Services,6.83,False,procurement@solacesystem.com
SC-00118,Tempest Energy,Tier 1,China,3207627.92,2022-07-30,Raw Materials,6.67,False,procurement@tempestenerg.com
SC-00119,Atlas Freight Co,Tier 3,Germany,415616.41,2021-12-08,Services,2.99,False,procurement@atlasfreight.com
SC-00120,Quantum Analytics Inc,Tier 2,Germany,4996899.15,2022-09-16,Electronics,2.37,True,procurement@quantumanaly.com
SC-00121,Solace Systems,Tier 3,India,158601.01,2023-09-10,Software,2.74,True,procurement@solacesystem.com
SC-00122,Delphi Advisors,Tier 2,France,4004357.59,2023-05-28,Raw Materials,2.19,True,procurement@delphiadviso.com
SC-00123,Aether Networks,Tier 3,France,3618595.46,2023-09-12,Logistics,6.28,True,procurement@aethernetwor.com
SC-00124,Cobalt Ventures,Tier 1,UK,1856063.1,2020-09-26,Electronics,9.1,True,procurement@cobaltventur.com
SC-00125,Ionic Materials,Tier 1,Germany,3943238.41,2022-01-19,Services,5.02,True,procurement@ionicmateria.com
SC-00126,Stratos Global,Tier 2,France,1510950.17,2021-11-24,Electronics,4.68,True,procurement@stratosgloba.com
SC-00127,Zenith Tech,Tier 3,Japan,3388310.84,2022-03-24,Services,3.66,False,procurement@zenithtechno.com
SC-00128,ACME Corporation,Tier 3,USA,2301190.84,2023-10-09,Raw Materials,5.85,True,procurement@acmecorporat.com
SC-00129,Catalyst Group,Tier 2,USA,3116756.99,2023-02-23,Raw Materials,9.15,True,procurement@catalystgrou.com
SC-00130,Vertex Holdings,Tier 3,India,3263735.26,2020-08-26,Logistics,0.45,True,procurement@vertexholdin.com
SC-00131,Cobalt Ventures,Tier 1,USA,1212260.16,2023-01-05,Logistics,3.89,True,procurement@cobaltventur.com
SC-00132,Forge Industries,Tier 3,Japan,3646665.8,2022-04-29,Electronics,8.34,False,procurement@forgeindustr.com
SC-00133,Stellar Pharma,Tier 3,India,1125484.94,2022-06-29,Logistics,8.55,True,procurement@stellarpharm.com
SC-00134,Crest Financial,Tier 1,China,1415613.13,2020-09-07,Software,0.92,True,procurement@crestfinanci.com
SC-00135,Delphi Advisors,Tier 1,France,1700870.32,2020-09-14,Services,2.05,True,procurement@delphiadviso.com
SC-00136,Tempest Energy,Tier 1,India,3883124.46,2023-05-05,Electronics,2.77,True,procurement@tempestenerg.com
SC-00137,Apex Industries LLC,Tier 2,France,913760.75,2023-09-15,Electronics,1.32,True,procurement@apexindustri.com
SC-00138,Nova Logistics,Tier 1,Germany,1363569.17,2020-09-16,Software,5.26,True,procurement@novalogistic.com
SC-00139,Eclipse Trading,Tier 2,UK,2988646.79,2022-07-14,Services,2.22,True,procurement@eclipsetradi.com
SC-00140,Radiant Health,Tier 2,Japan,4821929.61,2020-05-04,Software,8.47,False,procurement@radianthealt.com
SC-00141,Catalyst Group,Tier 3,China,413779.04,2020-06-14,Raw Materials,6.08,True,procurement@catalystgrou.com
SC-00142,APEX Industries,Tier 3,Japan,2947555.21,2023-12-29,Raw Materials,3.81,True,procurement@apexindustri.com
SC-00143,Summit Resources,Tier 1,France,3523808.12,2023-09-02,Services,7.21,True,procurement@summitresour.com
SC-00144,SynapseAI,Tier 1,China,1727711.51,2022-07-17,Software,4.16,True,procurement@synapseai.com
SC-00145,Indigo Capital,Tier 2,Japan,1311704.49,2020-11-08,Software,0.67,True,procurement@indigocapita.com
SC-00146,Horizon Enterprises,Tier 1,Japan,3707040.19,2020-09-23,Services,0.6,True,procurement@horizonenter.com
SC-00147,Meridian Corp,Tier 2,France,3343435.57,2022-05-16,Electronics,9.68,True,procurement@meridiancorp.com
SC-00148,Helios Media,Tier 3,UK,1103057.09,2023-09-06,Software,2.24,True,procurement@heliosmedia.com
SC-00149,Helios Media,Tier 1,France,1428912.65,2021-04-08,Software,8.45,True,procurement@heliosmedia.com
SC-00150,Delphi Advisors,Tier 1,Germany,1402688.42,2021-09-24,Raw Materials,3.51,True,procurement@delphiadviso.com
SC-00151,Zenith,Tier 3,China,394447.84,2023-07-20,Electronics,0.92,True,procurement@zenithtechno.com
SC-00152,Delta Robotics,Tier 2,India,829175.92,2021-09-30,Raw Materials,7.77,True,procurement@deltarobotic.com
SC-00153,Pinnacle Sys,Tier 1,France,3108299.0,2023-10-12,Electronics,2.72,False,procurement@pinnaclesyst.com
SC-00154,Pulsar Electronics,Tier 2,India,1117066.38,2022-11-15,Electronics,3.45,True,procurement@pulsarelectr.com
SC-00155,Atlas Freight Co,Tier 3,UK,2458832.13,2023-09-28,Raw Materials,0.45,False,procurement@atlasfreight.com
SC-00156,Delphi Advisors,Tier 1,Germany,1542025.84,2021-03-08,Logistics,7.64,True,procurement@delphiadviso.com
SC-00157,Indigo Capital,Tier 1,China,3747719.91,2020-12-25,Logistics,3.8,True,procurement@indigocapita.com
SC-00158,Vertex Capital,Tier 1,China,4315733.59,2020-03-27,Software,0.19,True,procurement@vertexcapita.com
SC-00159,Indigo Capital,Tier 3,China,3562019.86,2022-05-05,Raw Materials,1.15,True,procurement@indigocapita.com
SC-00160,Indigo Capital,Tier 3,China,4168528.27,2022-01-11,Electronics,4.37,True,procurement@indigocapita.com
SC-00161,Nova Logistics,Tier 3,China,2643614.59,2022-03-21,Raw Materials,7.46,True,procurement@novalogistic.com
SC-00162,Sirius Retail,Tier 1,UK,3184462.1,2022-12-22,Services,1.94,True,procurement@siriusretail.com
SC-00163,Helios Media,Tier 1,USA,774898.88,2021-02-08,Logistics,6.02,True,procurement@heliosmedia.com
SC-00164,Orion Dynamics,Tier 2,France,2840490.64,2023-04-01,Software,6.81,True,procurement@oriondynamic.com
SC-00165,Indigo Capital,Tier 2,USA,2371159.36,2023-07-17,Raw Materials,7.96,True,procurement@indigocapita.com
SC-00166,Helios Media,Tier 2,China,2286973.63,2020-04-26,Raw Materials,8.32,True,procurement@heliosmedia.com
SC-00167,Horizon Enterprises,Tier 2,UK,2793866.04,2020-03-25,Software,9.09,True,procurement@horizonenter.com
SC-00168,Indigo Capital,Tier 3,Germany,4790725.68,2022-07-11,Electronics,8.11,True,procurement@indigocapita.com
SC-00169,Horizon Enterprises,Tier 1,Germany,3552727.44,2022-06-18,Services,5.23,True,procurement@horizonenter.com
SC-00170,Crest Financial,Tier 2,China,2073408.52,2021-11-23,Services,0.52,True,procurement@crestfinanci.com
SC-00171,Vertex Holdings,Tier 1,UK,3407977.76,2021-08-04,Raw Materials,7.24,True,procurement@vertexholdin.com
SC-00172,Sirius Retail,Tier 3,Japan,750070.48,2021-12-17,Raw Materials,9.68,False,procurement@siriusretail.com
SC-00173,Apex Industries LLC,Tier 3,USA,1582430.34,2022-02-10,Raw Materials,8.13,True,procurement@apexindustri.com
SC-00174,Synapse Artificial Intelligence,Tier 2,USA,1844858.46,2021-01-04,Logistics,3.42,False,procurement@synapseai.com
SC-00175,Vanguard Networks,Tier 1,Germany,431967.17,2020-07-26,Services,7.71,True,procurement@vanguardnetw.com
SC-00176,Sirius Retail,Tier 3,China,813551.17,2021-01-05,Services,8.09,True,procurement@siriusretail.com
SC-00177,Cascade Biotech,Tier 2,India,3397996.46,2021-05-01,Software,6.11,False,procurement@cascadebiote.com
SC-00178,TITAN Manufacturing,Tier 1,India,4829703.35,2022-08-18,Logistics,3.68,False,procurement@titanmanufac.com
SC-00179,Summit Resources,Tier 2,UK,2660925.95,2020-11-27,Logistics,8.01,True,procurement@summitresour.com
SC-00180,Quantum Analytic,Tier 3,China,4376878.88,2023-02-09,Electronics,7.11,True,procurement@quantumanaly.com
SC-00181,Atlas Freight LLC,Tier 1,India,2274130.14,2022-11-17,Logistics,8.31,True,procurement@atlasfreight.com
SC-00182,Titan Manufacturing Co,Tier 2,USA,2103739.68,2022-03-22,Services,3.74,False,procurement@titanmanufac.com
SC-00183,Horizon Enterprises,Tier 1,USA,1627490.13,2020-07-21,Raw Materials,7.91,True,procurement@horizonenter.com
SC-00184,Next Gen Solutions,Tier 2,Japan,4163996.91,2023-12-15,Software,4.49,True,procurement@nexgensoluti.com
SC-00185,Horizon Enterprises,Tier 2,Germany,4183067.34,2023-01-28,Services,5.28,True,procurement@horizonenter.com
SC-00186,Atlas Freight LLC,Tier 2,USA,286359.76,2022-05-09,Services,4.57,True,procurement@atlasfreight.com
SC-00187,Pulsar Electronics,Tier 3,UK,2896484.91,2020-10-21,Raw Materials,4.29,True,procurement@pulsarelectr.com
SC-00188,Nova Logistics,Tier 1,Japan,3357663.77,2022-12-08,Raw Materials,0.68,True,procurement@novalogistic.com
SC-00189,Delta Robotics,Tier 1,Japan,1965062.54,2022-02-03,Raw Materials,7.47,True,procurement@deltarobotic.com
SC-00190,Vertex Holdings,Tier 1,Japan,3302666.78,2020-07-31,Services,7.35,True,procurement@vertexholdin.com
SC-00191,Apex Ind.,Tier 2,UK,1725808.93,2023-08-09,Logistics,8.3,False,procurement@apexindustri.com
SC-00192,Eclipse Trading,Tier 1,USA,3594423.04,2022-07-26,Electronics,2.93,True,procurement@eclipsetradi.com
SC-00193,Vanguard Networks,Tier 2,India,2601148.77,2023-01-17,Software,2.53,True,procurement@vanguardnetw.com
SC-00194,ATLAS Freight,Tier 1,France,3295870.27,2021-07-13,Electronics,7.99,False,procurement@atlasfreight.com
SC-00195,Prism Consulting,Tier 2,India,4869931.74,2022-10-13,Software,3.67,True,procurement@prismconsult.com
SC-00196,Horizon Enterprises,Tier 1,China,3032143.83,2021-01-04,Services,2.94,True,procurement@horizonenter.com
SC-00197,Horizon Enterprises,Tier 3,India,1567154.49,2023-05-19,Software,1.67,False,procurement@horizonenter.com
SC-00198,Helios Media,Tier 1,Japan,4356684.02,2021-12-23,Services,9.98,True,procurement@heliosmedia.com
SC-00199,Pinnacle Sys,Tier 3,Japan,2060740.65,2022-11-16,Logistics,9.53,True,procurement@pinnaclesyst.com
SC-00200,Delphi Advisors,Tier 1,Germany,382805.15,2023-08-14,Raw Materials,3.62,True,procurement@delphiadviso.com
SC-00201,Delphi Advisors,Tier 3,China,4746676.47,2022-01-31,Software,7.63,True,procurement@delphiadviso.com
SC-00202,Radiant Health,Tier 2,India,3265325.65,2021-05-26,Electronics,0.26,True,procurement@radianthealt.com
SC-00203,Pulsar Electronics,Tier 3,USA,1345794.55,2021-06-17,Software,2.15,True,procurement@pulsarelectr.com
SC-00204,Pulsar Electronics,Tier 1,Germany,4271490.14,2022-07-14,Logistics,8.99,False,procurement@pulsarelectr.com
SC-00205,Horizon Enterprises,Tier 3,India,3562225.41,2023-01-31,Services,2.9,True,procurement@horizonenter.com
SC-00206,Stratos Global,Tier 2,UK,1159996.0,2021-02-15,Logistics,2.37,False,procurement@stratosgloba.com
SC-00207,GlobalTech Incorporated,Tier 3,UK,1876110.27,2023-02-03,Logistics,6.12,True,procurement@globaltechin.com
SC-00208,Vertex Holdings,Tier 2,Japan,3608404.82,2022-12-12,Software,7.69,True,procurement@vertexholdin.com
SC-00209,APEX Industries,Tier 3,USA,2277373.75,2023-10-24,Services,3.45,True,procurement@apexindustri.com
SC-00210,APEX Industries,Tier 3,France,324293.61,2020-09-11,Services,1.53,True,procurement@apexindustri.com
SC-00211,Stratos Global,Tier 3,Germany,1762814.26,2022-11-28,Raw Materials,8.46,True,procurement@stratosgloba.com
SC-00212,Vanguard Networks,Tier 1,Japan,1548981.8,2022-12-28,Electronics,5.03,True,procurement@vanguardnetw.com
SC-00213,Tempest Energy,Tier 1,Japan,3141171.98,2023-05-24,Raw Materials,8.43,True,procurement@tempestenerg.com
SC-00214,Global Tech Inc,Tier 1,Japan,3866560.73,2021-06-26,Logistics,7.67,False,procurement@globaltechin.com
SC-00215,Aether Networks,Tier 2,Japan,2750608.54,2023-08-07,Raw Materials,4.83,False,procurement@aethernetwor.com
SC-00216,Cobalt Ventures,Tier 1,Japan,346569.51,2022-06-19,Software,4.84,True,procurement@cobaltventur.com
SC-00217,Sirius Retail,Tier 2,France,3605896.28,2021-12-08,Software,1.31,True,procurement@siriusretail.com
SC-00218,Vertex Capital,Tier 2,Germany,2359039.21,2021-07-01,Software,2.48,True,procurement@vertexcapita.com
SC-00219,Pinnacle Systems Ltd,Tier 2,France,3096118.35,2021-05-23,Logistics,8.13,True,procurement@pinnaclesyst.com
SC-00220,Vanguard Networks,Tier 2,UK,2360734.83,2021-09-23,Software,0.23,False,procurement@vanguardnetw.com
SC-00221,Vertex Capital,Tier 1,Germany,2937553.35,2020-04-09,Electronics,2.81,False,procurement@vertexcapita.com
SC-00222,Atlas Freight Co,Tier 1,France,582110.57,2020-10-01,Raw Materials,7.28,False,procurement@atlasfreight.com
SC-00223,Crest Financial,Tier 2,USA,2872894.14,2021-02-02,Raw Materials,5.53,True,procurement@crestfinanci.com
SC-00224,Delta Robotics,Tier 3,India,4135291.02,2023-06-30,Services,1.19,True,procurement@deltarobotic.com
SC-00225,Prism Consulting,Tier 2,UK,4697795.41,2020-10-22,Logistics,6.02,False,procurement@prismconsult.com
SC-00226,Vertex Capital,Tier 1,USA,728330.05,2021-11-13,Software,5.19,True,procurement@vertexcapita.com
SC-00227,Delphi Advisors,Tier 2,UK,1626723.66,2022-03-15,Services,7.39,True,procurement@delphiadviso.com
SC-00228,Tempest Energy,Tier 3,France,2573084.8,2022-09-30,Services,3.0,True,procurement@tempestenerg.com
SC-00229,Crest Financial,Tier 3,USA,4900495.25,2023-04-10,Raw Materials,7.97,True,procurement@crestfinanci.com
SC-00230,Delphi Advisors,Tier 2,Japan,3925374.76,2023-03-30,Services,2.28,True,procurement@delphiadviso.com
SC-00231,Tempest Energy,Tier 1,UK,3163674.94,2023-06-23,Software,1.48,True,procurement@tempestenerg.com
SC-00232,NexGen,Tier 3,USA,994382.42,2022-06-22,Raw Materials,4.19,False,procurement@nexgensoluti.com
SC-00233,Solaris Energy,Tier 3,France,3076816.4,2022-08-23,Electronics,7.06,True,procurement@solarisenerg.com
